variant,data_source,focus_parameter,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,6.700000,10,1024,512,289,703.945841,703.709662,702.667146,706.638283,1702995322,1702423954,1699901886,1709508916,3248.205799,0.744785,0.645728,1513896411.600000,40306635.300000,0.026624,12441.800000,8678.400000,0.697520,154997320.500000,148210.300000,0.000956,6816615603.500000,4.002721
gen_10x10_1,generated 10*10,6.700000,10,10,10,289,0.091933,0.090505,0.090174,0.105382,222408,218953,218152,254943,2224.080000,1.087744,0.943074,197752.100000,1635.500000,0.008270,1.200000,0.000000,0.000000,21922.100000,70.900000,0.003234,877569.100000,3.945762
gen_13x13_1,generated 13*13,6.700000,10,13,13,289,0.165794,0.164217,0.164058,0.179896,401094,397278,396894,435210,2373.337278,1.019335,0.883764,366375.100000,2605.300000,0.007111,1.800000,0.000000,0.000000,39515.100000,246.700000,0.006243,1629776.100000,4.063327
gen_16x16_1,generated 16*16,6.700000,10,16,16,289,0.263288,0.263124,0.262738,0.265812,636955,636558,635623,643060,2488.105469,0.972318,0.842999,587278.000000,3795.100000,0.006462,1.400000,0.000000,0.000000,62441.000000,572.300000,0.009165,2617204.000000,4.108931
gen_19x19_1,generated 19*19,6.700000,10,19,19,289,0.425382,0.423963,0.423816,0.436768,1029097,1025663,1025307,1056642,2850.684211,0.848648,0.735778,860478.500000,5189.200000,0.006031,3.800000,0.200000,0.052632,90777.700000,5113.900000,0.056334,3840291.700000,3.731710
gen_22x22_1,generated 22*22,6.700000,10,22,22,289,0.579260,0.578160,0.577998,0.586380,1401365,1398706,1398314,1418591,2895.382231,0.835549,0.724421,1185850.500000,6766.600000,0.005706,8.500000,1.500000,0.176471,124399.900000,6035.200000,0.048515,5298378.700000,3.780870
gen_25x25_1,generated 25*25,6.700000,10,25,25,289,0.759640,0.755847,0.755512,0.788791,1837747,1828573,1827762,1908272,2940.395200,0.822759,0.713332,1563543.200000,8730.100000,0.005584,10.100000,0.900000,0.089109,163420.200000,6897.200000,0.042205,6992049.200000,3.804685
gen_28x28_1,generated 28*28,6.700000,10,28,28,289,0.960010,0.957843,0.957053,0.973361,2322491,2317250,2315337,2354790,2962.360969,0.816658,0.708043,1993450.100000,10869.300000,0.005453,20.800000,0.500000,0.024038,207728.100000,7770.900000,0.037409,8920715.100000,3.841012
gen_31x31_1,generated 31*31,6.700000,10,31,31,289,1.185815,1.183477,1.182604,1.199509,2868765,2863110,2860999,2901896,2985.187305,0.810413,0.702628,2475667.300000,13278.900000,0.005364,13.500000,2.700000,0.200000,257420.300000,8639.000000,0.033560,11084951.300000,3.864015
gen_34x34_1,generated 34*34,6.700000,10,34,34,289,1.516251,1.440291,1.433244,1.982837,3668153,3484391,3467341,4796932,3173.142734,0.762407,0.661007,3010063.800000,16081.800000,0.005343,74.800000,0.900000,0.012032,312407.800000,9506.600000,0.030430,13484162.800000,3.676009
gen_37x37_1,generated 37*37,6.700000,10,37,37,289,1.716403,1.716276,1.709792,1.728156,4152380,4152074,4136387,4180814,3033.148283,0.797598,0.691518,3596692.400000,19173.600000,0.005331,118.100000,3.300000,0.027942,372749.400000,10376.600000,0.027838,16118750.400000,3.881810
gen_40x40_1,generated 40*40,6.700000,10,40,40,289,2.016542,2.014826,2.009433,2.033659,4878495,4874345,4861296,4919905,3049.059375,0.793437,0.687910,4235661.500000,22573.700000,0.005329,124.500000,3.400000,0.027309,438470.500000,11242.700000,0.025641,18988873.500000,3.892363
gen_43x43_1,generated 43*43,6.700000,10,43,43,289,2.348445,2.342544,2.328936,2.393818,5681440,5667165,5634243,5791208,3072.709573,0.787329,0.682615,4926828.800000,25975.100000,0.005272,148.400000,0.700000,0.004717,509515.800000,12107.000000,0.023762,22094162.800000,3.888831
gen_46x46_1,generated 46*46,6.700000,10,46,46,289,2.697536,2.700315,2.675188,2.708988,6525982,6532706,6471917,6553687,3084.112476,0.784420,0.680092,5670258.700000,29911.900000,0.005275,159.900000,1.200000,0.007505,585910.700000,12975.500000,0.022146,25434791.700000,3.897466
gen_49x49_1,generated 49*49,6.700000,10,49,49,289,3.065273,3.065855,3.049583,3.082710,7415604,7417011,7377645,7457787,3088.548105,0.783291,0.679113,6465952.000000,34909.600000,0.005399,123.600000,7.600000,0.061489,667656.000000,13845.600000,0.020738,29010761.000000,3.912124
gen_52x52_1,generated 52*52,6.700000,10,52,52,289,3.468173,3.469105,3.451356,3.494275,8390343,8392598,8349658,8453489,3102.937500,0.779661,0.675966,7313889.800000,41214.100000,0.005635,153.900000,3.700000,0.024042,754742.800000,14715.900000,0.019498,32822017.800000,3.911880
gen_55x55_1,generated 55*55,6.700000,10,55,55,289,3.879223,3.877449,3.865516,3.898757,9384774,9380483,9351615,9432033,3102.404628,0.779795,0.676083,8214082.000000,105748.300000,0.012874,60.900000,2.500000,0.041051,847176.000000,15576.300000,0.018386,36868589.000000,3.928554
gen_58x58_1,generated 58*58,6.700000,10,58,58,289,4.330088,4.326166,4.316360,4.393548,10475529,10466042,10442317,10629055,3114.009810,0.776889,0.673563,9166528.300000,224985.700000,0.024544,56.100000,2.000000,0.035651,944955.300000,16446.000000,0.017404,41150474.300000,3.928248
gen_61x61_1,generated 61*61,6.700000,10,61,61,289,4.810322,4.810759,4.781629,4.840740,11637324,11638381,11567908,11710913,3127.472185,0.773545,0.670663,10171219.400000,278693.400000,0.027400,51.700000,2.100000,0.040619,1048077.400000,17308.900000,0.016515,45667652.400000,3.924240
gen_64x64_1,generated 64*64,6.700000,10,64,64,289,5.294163,5.296080,5.272930,5.325729,12807851,12812489,12756484,12884218,3126.916748,0.773682,0.670783,11228182.400000,309191.200000,0.027537,48.200000,0.500000,0.010373,1156553.400000,18177.100000,0.015717,50420196.400000,3.936663
gen_67x67_1,generated 67*67,6.700000,10,67,67,289,5.811139,5.813265,5.793820,5.820865,14058558,14063702,14016660,14082090,3131.779461,0.772482,0.669742,12337381.500000,339397.200000,0.027510,57.600000,3.400000,0.059028,1270366.500000,19044.700000,0.014992,55407997.500000,3.941229
gen_70x70_1,generated 70*70,6.700000,10,70,70,289,6.347778,6.341910,6.336000,6.371599,15356808,15342612,15328314,15414436,3134.042449,0.771924,0.669258,13498843.500000,370754.800000,0.027466,64.700000,5.200000,0.080371,1389529.500000,19916.200000,0.014333,60631138.500000,3.948160
gen_73x73_1,generated 73*73,6.700000,10,73,73,289,6.921938,6.924324,6.895338,6.939827,16745820,16751595,16681471,16789099,3142.394445,0.769871,0.667478,14712568.800000,403493.500000,0.027425,78.600000,5.200000,0.066158,1514042.800000,20783.200000,0.013727,66089619.800000,3.946634
gen_76x76_1,generated 76*76,6.700000,10,76,76,289,7.550681,7.527506,7.479954,7.680260,18266986,18210921,18095882,18580471,3162.566828,0.764964,0.663224,15978539.800000,437481.200000,0.027379,86.400000,24.500000,0.283565,1643899.800000,21652.000000,0.013171,71783394.800000,3.929679
gen_79x79_1,generated 79*79,6.700000,10,79,79,289,8.130824,8.132176,8.087460,8.201432,19670438,19673710,19565532,19841257,3151.808685,0.767573,0.665486,17296755.400000,473127.100000,0.027354,86.000000,20.100000,0.233721,1779097.400000,22515.300000,0.012655,77712452.400000,3.950723
gen_82x82_1,generated 82*82,6.700000,10,82,82,289,8.764111,8.759821,8.735856,8.809417,21201218,21190839,21132866,21310817,3153.066330,0.767220,0.665180,18667241.700000,510173.000000,0.027330,116.900000,27.500000,0.235244,1919647.700000,23385.600000,0.012182,83876874.700000,3.956229
gen_85x85_1,generated 85*85,6.700000,10,85,85,289,9.448322,9.437546,9.413550,9.535888,22857793,22831725,22773671,23069637,3163.708374,0.764686,0.662983,20089974.600000,548210.300000,0.027288,115.400000,31.000000,0.268631,2065541.600000,24254.300000,0.011742,90276586.600000,3.949488
gen_88x88_1,generated 88*88,6.700000,10,88,88,289,10.132266,10.126334,10.094284,10.238129,24512391,24498041,24420503,24768501,3165.339747,0.764291,0.662640,21564960.800000,587891.700000,0.027261,126.600000,47.600000,0.375987,2216780.800000,25175.500000,0.011357,96911611.800000,3.953576
gen_91x91_1,generated 91*91,6.700000,10,91,91,289,10.850557,10.835479,10.820056,10.915795,26250192,26213715,26176404,26408019,3169.930202,0.763187,0.661683,23092354.100000,629192.600000,0.027247,164.500000,62.200000,0.378116,2373529.100000,25989.800000,0.010950,103782495.100000,3.953590
gen_94x94_1,generated 94*94,6.700000,10,94,94,289,11.647573,11.635111,11.543366,11.738074,28181970,28151819,27929835,28400944,3189.448846,0.758613,0.657717,24671851.900000,671596.600000,0.027221,201.700000,72.800000,0.360932,2535463.900000,26858.200000,0.010593,110888151.900000,3.934720
gen_97x97_1,generated 97*97,6.700000,10,97,97,289,12.379826,12.386714,12.308260,12.446075,29949813,29966477,29776678,30110086,3183.102668,0.760027,0.658943,26303602.200000,715196.400000,0.027190,192.900000,62.300000,0.322965,2702743.200000,27727.700000,0.010259,118229121.200000,3.947575
gen_100x100_1,generated 100*100,6.700000,10,100,100,289,13.169165,13.163109,13.135377,13.239748,31860644,31845994,31778901,32031409,3186.064400,0.759350,0.658356,27987606.900000,760493.400000,0.027173,209.100000,82.000000,0.392157,2875368.900000,28596.900000,0.009945,125805404.900000,3.948615
gen_103x103_1,generated 103*103,6.700000,10,103,103,289,13.985544,13.973428,13.937976,14.079854,33834514,33805204,33719437,34062675,3189.227448,0.758569,0.657679,29723865.700000,806828.000000,0.027144,239.800000,90.900000,0.379066,3053340.700000,29462.600000,0.009649,133617002.700000,3.949133
gen_106x106_1,generated 106*106,6.700000,10,106,106,289,14.827055,14.824693,14.780149,14.876594,35870267,35864555,35756792,35990115,3192.440993,0.757804,0.657016,31512291.300000,855068.100000,0.027134,287.300000,122.500000,0.426384,3236567.300000,30328.600000,0.009371,141663627.400000,3.949333
gen_109x109_1,generated 109*109,6.700000,10,109,109,289,15.683306,15.671990,15.616788,15.795398,37941727,37914351,37780805,38212906,3193.479253,0.757557,0.656802,33353058.000000,904392.300000,0.027116,233.800000,97.200000,0.415740,3425231.000000,31195.800000,0.009108,149945853.100000,3.952004
gen_112x112_1,generated 112*112,6.700000,10,112,112,289,16.566535,16.559161,16.509088,16.661822,40078473,40060635,39939495,40308996,3195.031330,0.757189,0.656483,35246077.700000,954724.500000,0.027087,252.800000,112.000000,0.443038,3619239.700000,32062.300000,0.008859,158463391.800000,3.953828
gen_115x115_1,generated 115*115,6.700000,10,115,115,289,17.446102,17.446315,17.404916,17.512452,42206331,42206847,42106694,42366849,3191.404991,0.758049,0.657228,37191360.000000,1006448.200000,0.027061,262.500000,108.000000,0.411429,3818603.000000,32925.800000,0.008622,167216253.100000,3.961876
gen_118x118_1,generated 118*118,6.700000,10,118,118,289,18.425845,18.424047,18.375619,18.486606,44576662,44572313,44455153,44723659,3201.426458,0.755678,0.655173,39188890.300000,1060055.300000,0.027050,271.900000,126.000000,0.463406,4023306.300000,33794.900000,0.008400,176204430.400000,3.952840
gen_121x121_1,generated 121*121,6.700000,10,121,121,289,19.368148,19.373871,19.284220,19.436305,46856296,46870141,46653254,47021184,3200.348064,0.755932,0.655393,41238673.400000,1114560.400000,0.027027,311.800000,129.900000,0.416613,4233354.400000,34661.200000,0.008188,185427912.500000,3.957375
gen_124x124_1,generated 124*124,6.700000,10,124,124,289,20.366013,20.358991,20.313866,20.423241,49270446,49253458,49144291,49408896,3204.373439,0.754983,0.654571,43340710.400000,1170934.200000,0.027017,316.000000,129.300000,0.409177,4448749.400000,35555.400000,0.007992,194886713.500000,3.955449
gen_127x127_1,generated 127*127,6.700000,10,127,127,289,21.363125,21.362224,21.262128,21.466568,51682717,51680536,51438380,51932971,3204.334863,0.754993,0.654579,45495001.500000,1228698.400000,0.027007,366.900000,155.500000,0.423821,4669489.500000,36401.200000,0.007796,204580823.600000,3.958399
gen_130x130_1,generated 130*130,6.700000,10,130,130,289,22.418999,22.437132,22.333760,22.483950,54237213,54281081,54030997,54394345,3209.302544,0.753825,0.653566,47701547.100000,1287683.700000,0.026995,390.700000,145.500000,0.372408,4895576.100000,37261.300000,0.007611,214510248.200000,3.955038
gen_133x133_1,generated 133*133,6.700000,10,133,133,289,23.485509,23.481212,23.429484,23.540322,56817246,56806850,56681707,56949852,3212.010063,0.753188,0.653014,49960345.300000,1348032.700000,0.026982,415.900000,162.600000,0.390959,5127007.300000,38129.300000,0.007437,224674985.400000,3.954345
gen_136x136_1,generated 136*136,6.700000,10,136,136,289,24.436456,24.446270,24.352244,24.544915,59117845,59141589,58914117,59380237,3196.250270,0.756902,0.656234,52271285.100000,1412024.700000,0.027013,394.500000,178.500000,0.452471,5363671.000000,38994.300000,0.007270,235074727.000000,3.976375
gen_139x139_1,generated 139*139,6.700000,10,139,139,289,25.580507,25.571493,25.513838,25.657307,61885567,61863759,61724278,62071364,3203.020910,0.755302,0.654847,54634590.100000,1475190.800000,0.027001,404.500000,174.200000,0.430655,5605793.000000,39862.100000,0.007111,245710091.000000,3.970394
gen_142x142_1,generated 142*142,6.700000,10,142,142,289,26.685248,26.685517,26.544388,26.790108,64558228,64558878,64217452,64811910,3201.657806,0.755623,0.655126,57050146.700000,1540221.800000,0.026998,416.900000,177.300000,0.425282,5853258.600000,40722.700000,0.006957,256580766.600000,3.974408
gen_145x145_1,generated 145*145,6.700000,10,145,145,289,27.868972,27.865698,27.813191,27.965140,67421731,67413811,67286784,67654385,3206.741070,0.754423,0.654085,59517960.500000,1606318.700000,0.026989,430.100000,168.200000,0.391072,6106073.400000,41593.100000,0.006812,267686759.400000,3.970334
gen_148x148_1,generated 148*148,6.700000,10,148,148,289,29.018068,29.027800,28.965838,29.088076,70201814,70225358,70075457,70371181,3204.976899,0.754840,0.654446,62038025.600000,1673383.000000,0.026974,484.700000,234.000000,0.482773,6364231.500000,42655.400000,0.006702,279028063.500000,3.974656
gen_151x151_1,generated 151*151,6.700000,10,151,151,289,30.252651,30.228220,30.186626,30.377636,73188623,73129520,73028893,73490994,3209.886540,0.753686,0.653446,64610347.500000,1742325.000000,0.026967,411.600000,182.200000,0.442663,6627739.400000,43527.900000,0.006568,290604689.400000,3.970627
gen_154x154_1,generated 154*154,6.700000,10,154,154,289,31.463337,31.457353,31.394567,31.570585,76117484,76103008,75951113,76376944,3209.541407,0.753766,0.653515,67234920.900000,1812987.300000,0.026965,446.000000,209.600000,0.469955,6896589.800000,44421.700000,0.006441,302416621.800000,3.973024
gen_157x157_1,generated 157*157,6.700000,10,157,157,289,32.705699,32.710039,32.584942,32.822967,79123161,79133661,78831020,79406861,3209.994767,0.753661,0.653424,69911749.200000,1884507.500000,0.026956,491.700000,209.900000,0.426886,7170787.100000,45267.200000,0.006313,314463869.100000,3.974359
