variant,data_source,num_focuses,num_reps,img_w,img_h,n_subapertures,avg_ms,median_ms,min_ms,max_ms,avg_cycles,median_cycles,min_cycles,max_cycles,cycles_per_pixel,mpixels_s,membw_gbs,avg_l1d_loads,avg_l1d_misses,avg_l1d_miss_rate,avg_llc_loads,avg_llc_misses,avg_llc_miss_rate,avg_branch_instr,avg_branch_misses,branch_miss_rate,avg_instructions,ipc
real_data_1,real,3,5,1024,512,289,9857.186443,9857.683419,9853.899828,9860.017115,23846922549,23848124856,23838971432,23853770632,15161.465040,0.159565,0.138343,10989837298.200001,62738086.800000,0.005709,6273064.800000,3999449.800000,0.637559,4592799194.200000,659655.800000,0.000144,58435081701.200005,2.450424
gen_16x16_1,generated 16*16,3,5,16,16,289,3.983077,3.982846,3.975170,3.993172,9636652,9636094,9617523,9661076,12547.723958,0.192816,0.167171,4725615.000000,4687.000000,0.000992,7.800000,0.600000,0.076923,2072695.000000,1476.600000,0.000712,25276332.000000,2.622937
gen_32x32_1,generated 32*32,3,5,32,32,289,17.120554,17.128170,17.048847,17.162287,41421478,41439906,41247992,41522449,13483.554036,0.179433,0.155569,20093003.400000,54454.800000,0.002710,38.000000,1.800000,0.047368,8587891.400000,2857.200000,0.000333,107331050.400000,2.591193
gen_64x64_1,generated 64*64,3,5,64,64,289,71.836425,71.819562,71.153077,72.433772,173801424,173760627,172148130,175246650,14143.996094,0.171055,0.148305,83224034.000000,465264.600000,0.005591,3489.000000,502.800000,0.144110,35145495.000000,8047.800000,0.000229,443463611.000000,2.551553
gen_128x128_1,generated 128*128,3,5,128,128,289,290.032031,289.796989,289.340961,290.936836,701706561,701137897,700034580,703895655,14276.256531,0.169471,0.146931,338682632.400000,3122013.200000,0.009218,19262.400000,4986.400000,0.258867,142190685.400000,30345.400000,0.000213,1802536508.400000,2.568790
gen_256x256_1,generated 256*256,3,5,256,256,289,1179.972085,1179.704894,1177.929110,1181.905033,2854841685,2854195240,2849898882,2859518290,14520.475693,0.166621,0.144460,1366384024.000000,12521637.000000,0.009164,245580.200000,48657.800000,0.198134,572000016.000000,93747.800000,0.000164,7267907751.600000,2.545818
gen_512x512_1,generated 512*512,3,5,512,512,289,4897.100146,4896.472795,4895.454657,4899.611462,11848140306,11846622481,11844159179,11854216235,15065.689476,0.160591,0.139233,5488926154.000000,38627935.400000,0.007037,2701841.800000,1641435.200000,0.607525,2294495666.000000,377332.800000,0.000164,29187559529.600002,2.463472
gen_1024x1024_1,generated 1024*1024,3,5,1024,1024,289,19832.838714,19833.659687,19802.559538,19860.294888,47983730431,47985716701,47910472750,48050158123,15253.617106,0.158612,0.137517,22002566337.600002,121058606.800000,0.005502,10684047.000000,8834123.400000,0.826852,9190994057.600000,1382232.800000,0.000150,116982498561.200012,2.437962
gen_1536x1536_1,generated 1536*1536,3,5,1536,1536,289,44441.879936,44398.913464,44366.367552,44589.231419,107522020488,107418068049,107339326956,107878520465,15191.257687,0.159262,0.138080,49540947528.200005,348114441.200000,0.007027,23690005.800000,16871467.000000,0.712177,20689667565.200001,2908234.400000,0.000141,263386112545.800018,2.449602
gen_1792x1792_1,generated 1792*1792,3,5,1792,1792,289,59915.054471,59917.819742,59882.480936,59945.206280,144955453842,144962143998,144876647077,145028401605,15046.562542,0.160791,0.139406,67444414975.800003,619301347.800000,0.009182,32139689.600000,17008705.600000,0.529212,28164733716.800003,3907575.600000,0.000139,358565574889.400024,2.473626
gen_2048x2048_1,generated 2048*2048,3,5,2048,2048,289,79789.379611,79802.194032,79726.128390,79834.042656,193036678281,193067680568,192883652833,193144732836,15341.176850,0.157702,0.136727,88104076922.200012,579699900.000000,0.006580,42667854.000000,39437526.400000,0.924291,36790320639.200005,5134903.600000,0.000140,468396989427.800049,2.426466
gen_2304x2304_1,generated 2304*2304,3,5,2304,2304,289,99345.271889,99334.780351,99290.505372,99400.454144,240347876224,240322493850,240215378563,240481379687,15092.253271,0.160302,0.138982,111519912144.600006,1035058993.800000,0.009281,54716316.800000,29493482.000000,0.539025,46566407109.600006,6342790.400000,0.000136,592880334938.200073,2.466759
gen_2560x2560_1,generated 2560*2560,3,5,2560,2560,289,123575.159094,123577.667969,123471.223944,123660.949792,298977159231,298983229192,298725699018,299184720843,15206.764691,0.159100,0.137940,137691941027.000000,980340898.600000,0.007120,68010885.600000,47197122.400000,0.693964,57493013512.000000,8003194.600000,0.000139,732015631804.600098,2.448400
gen_2816x2816_1,generated 2816*2816,3,5,2816,2816,289,148741.637350,148632.650364,148595.142965,148999.510002,360067801568,359803970235,359713173826,360692049362,15135.533422,0.159939,0.138667,166620156595.000000,1550544913.000000,0.009306,82407814.600000,45490780.800000,0.552020,69570132872.000000,9455755.000000,0.000136,885802873052.600098,2.460100
gen_3072x3072_1,generated 3072*3072,3,5,3072,3072,289,266334.493155,257973.006443,232117.537756,313753.768212,644343114662,624114167495,561562024783,759064580227,22759.017756,0.106301,0.092163,198305931330.600006,1227198300.400000,0.006188,101574575.000000,87969224.200000,0.866056,82799137671.600006,12575374.200000,0.000152,1054243431164.200073,1.636152
gen_3328x3328_1,generated 3328*3328,3,5,3328,3328,289,368256.200107,367321.035417,365617.480197,374055.982266,890922330239,888659886037,884538474408,904953744875,26813.404158,0.090227,0.078227,232747552337.000000,2410464214.400000,0.010357,120512496.000000,82941124.000000,0.688237,97178315014.000000,16202365.400000,0.000167,1237335593242.600098,1.388825
gen_3584x3584_1,generated 3584*3584,3,5,3584,3584,289,371260.511466,367564.534305,344313.852765,422830.947874,898155636481,889214306561,832966119554,1022915142827,23307.427555,0.103795,0.089991,269944832165.600006,2198537511.800000,0.008144,139603165.800000,109743924.800000,0.786113,112707414748.600006,17606483.400000,0.000156,1435079384630.600098,1.597807
